Titolo;Autore;Author_;Genere;Vote;DateRead;Commento
Umani e umanoidi: Vivere con i robot;Roberto Cingolani;Cingolani, Roberto;essay;;2018/04/23;
Allegro ma non troppo;Carlo M. Cipolla;Cipolla, Carlo M.;essay;1;;
2001 Odissea nello spazio;Arthur C. Clarke;Clarke, Arthur C.;novel;1;;
2010 Odissea Due;Arthur C. Clarke;Clarke, Arthur C.;novel;;;
2061 Odissea Tre;Arthur C. Clarke;Clarke, Arthur C.;novel;;;
3001 Odissea Finale;Arthur C. Clarke;Clarke, Arthur C.;novel;;;
Incontro con Rama;Arthur C. Clarke;Clarke, Arthur C.;novel;1;;
Le guide del tramonto;Arthur C. Clarke;Clarke, Arthur C.;novel;1;;
Ready Player One;Ernest Cline;Cline, Ernest;novel;;;
Pinocchio;Carlo Collodi;Collodi, Carlo;novel;;;
Hypnerotomachia Poliphili;Francesco Colonna;Colonna, Francesco;classic;;;
Games-based Learning Advancements for Multi-sensory Human Computer Interfaces;Thomas Connolly;Connolly, Thomas;gamedesign;;;
Che cos'è la matematica? Introduzione elementare ai suoi concetti e metodi;Richard Courant;Courant, Richard;steam;;1989/01/01;
Le curve celebri: Invito alla storia della matematica attraverso le curve piane più affascinanti;Luciano Cresci;Cresci, Luciano;essay;;;
Airframe;Michael Crichton;Crichton, Michael;novel;;2018/01/01;
Jurassic Park;Michael Crichton;Crichton, Michael;novel;1;;
Rising Sun;Michael Crichton;Crichton, Michael;novel;;2018/01/03;
Stato di Paura;Michael Crichton;Crichton, Michael;novel;1;;
The Andromeda Strain;Michael Crichton;Crichton, Michael;novel;;;
Diario di un'apprendista astronauta;Samantha Cristoforetti;Cristoforetti, Samantha ;essay;;;
Magick ;Aleister Crowley;Crowley;essay;;;
Flow: The Psychology of Optimal Experience;M. Csikszentmihalyi;Csikszentmihalyi, M. ;gamedesign;;;
Monte Analogo;René Daumal;Daumal, René;novel;;;
Beyond Fun: Serious Games and Media;Drew Davidson;Davidson;gamedesign;;;
