Titolo;Autore;Author_;Genere;Vote;DateRead;Commento
Perché non sono cristiano;Bertrand Russell;Russell, Bertrand;essay;1;2018/01/08;
Storia della filosofia occidentale;Bertrand Russell;Russell, Bertrand;essay;1;;
Human Compatible;Stuart Russell;Russell, Stuart;steam;;;
Billions and Billions;Carl Sagan;Sagan, Carl;steam;;;
Contact;Carl Sagan;Sagan, Carl;novel;1;;
Cosmos - The story of cosmic evolution;Carl Sagan;Sagan, Carl;steam;1;;
Dragons of Eden: Speculations on the Evolution of Human Intelligence;Carl Sagan;Sagan, Carl;steam;;;
Pale Blue Dot: A Vision of the Human Future in Space;Carl Sagan;Sagan, Carl;steam;;2005/01/01;
Il piccolo principe;Antoine de Saint-Exupéry;Saint-Exupéry, Antoine de;novel;1;1988/01/01;
Rules of Play - Game Design Fundamentals;Katie Salen & Eric Zimmerman;Salen;gamedesign;;;
Breaking News;Frank Schätzing;Schätzing, Frank;novel;;;
Il quinto giorno;Frank Schätzing;Schätzing, Frank;novel;1;;
La tirannia della farfalla;Frank Schätzing;Schätzing, Frank;novel;;2020/07/27;
Limit;Frank Schätzing;Schätzing, Frank;novel;;;
The Art of Game Design: A Book of Lenses;Jesse Schell;Schell, Jesse;gamedesign;1;;
L'arte di essere felici;Arthur Schopenhauer ;Schopenhauer ;essay;;;
L’arte di insultare;Arthur Schopenhauer ;Schopenhauer ;essay;;;
Blood, Sweat, and Pixels;Jason Schreier;Schreier, Jason;gamedesign;;;
Ethics and Game Design;Karen Schrier;Schrier, Karen;gamedesign;;;
Learning, Education & Games - Volume 1: Curricular and Design Considerations;Karen Schrier;Schrier, Karen;gamedesign;;;
Learning, Education & Games - Volume 2: Bringing Games into Educational Contexts;Karen Schrier;Schrier, Karen;gamedesign;;;
Learning, Education & Games - Volume 3;Karen Schrier;Schrier, Karen;gamedesign;;;
Il simbolismo dei giochi ;Emiliano Sciarra;Sciarra, Emiliano;gamedesign;1;;
L'arte del gioco ;Emiliano Sciarra;Sciarra, Emiliano;gamedesign;1;;
L'autore di giochi ;Emiliano Sciarra;Sciarra, Emiliano;gamedesign;;;
The Ethics of Computer Games;Sicart;Sicart;gamedesign;;;
Opere Complete;Silo;Silo;essay;1;;
Umanizzare la Terra;Silo;Silo;essay;;;
Hyperion;Dan Simmons;Simmons, Dan;novel;;;
Storia della tecnologia;Charles Singer;Singer, Charles;essay;1;;
C# in Depth;Jon Skeet;Skeet, Jon;steam;;;
Vivere senza slot. Storie sul gioco d'azzardo tra ossessione e resistenza;Collettivo Senza Slot;Slot, Collettivo Senza;essay;;;
The Happy Tips Book;Susan Spira;Spira, Susan;gamedesign;;;
Last and First Men;Olaf Stapledon;Stapledon, Olaf;novel;1;;
Star Maker;Olaf Stapledon;Stapledon, Olaf;novel;1;;
L'isola del tesoro ;Robert Louis Stevenson;Stevenson, Robert Louis;novel;;;
Do Dice Play God?: The Mathematics of Uncertainty;Ian Stewart;Stewart, Ian;steam;;;
The Putin Interviews;Oliver Stone;Stone, Oliver;essay;;;
Play to Learn;Mayra Susana, Alban Taipe;Susana;gamedesign;;;
Reinforcement Learning - An Introduction;Richard S. Sutton, Andrew G. Barto;Sutton;ai;;;
Healthy Brain, Happy Life;Wendy Suzuki;Suzuki, Wendy;essay;;;
Life 3.0: Being Human in the Age of Artificial Intelligence;Max  Tegmark;Tegmark, Max;ai;;;
La fine è il mio inizio;Tiziano Terzani;Terzani, Tiziano;essay;1;;
The Science of Interstellar;Kip S. Thorne;Thorne, Kip S.;steam;;;
Playing Smart;Julian Togelius;Togelius, Julian;gamedesign;;;
Il Signore degli Anelli;J.R.R. Tolkien;Tolkien, J.R.R.;novel;1;;
Lo Hobbit;J.R.R. Tolkien;Tolkien, J.R.R.;novel;1;;
Silmarillon;J.R.R. Tolkien;Tolkien, J.R.R.;essay;;;
Psicologia dei videogiochi;Stefano Triberti & Luca Argenton;Triberti;gamedesign;;;
Pimandro - Corpus Hermeticum;Ermete Trismegisto;Trismegisto;classic;;;
Bardo Thödol. Libro tibetano dei morti;Giuseppe Tucci;Tucci, Giuseppe;classic;1;;
Dei, demoni e oracoli. La leggendaria spedizione in Tibet del 1933;Giuseppe Tucci;Tucci, Giuseppe;essay;;;
Storia della filosofia indiana;Giuseppe Tucci;Tucci, Giuseppe;essay;;;
Tibet ignoto;Giuseppe Tucci;Tucci, Giuseppe;essay;1;;
Tao Te Ching;Lao Tzu;Tzu, Lao;classic;1;;
L’arte della guerra;Sun Tzu;Tzu, Sun;classic;;;
Machines, minds and computers;The Open University;University, The Open;ai;;;
7.3 Billion People, One Building;Tim Urban;Urban, Tim;essay;;;
The AI Revolution: The Road to Superintelligence;Tim Urban;Urban, Tim;ai;;;
The Elon Musk Blog Series: Wait But Why;Tim Urban;Urban, Tim;steam;;;
The Fermi Paradox;Tim Urban;Urban, Tim;steam;;;
Wait But Why Year One: We finally figured out how to put a blog onto an e-reader;Tim Urban;Urban, Tim;steam;;;
Mensa Puzzle Problems;Vari;Vari;steam;;;
I grandi romanzi;Jules Verne;Verne, Jules;novel;1;;
Toward a Ludic Architecture: The Space of Play and Games;Steffen P. Walz;Walz, Steffen P.;gamedesign;;;
Composing Interactive Music: Techniques and Ideas Using Max;Todd Winkler;Winkler, Todd;steam;;1999/01/01;
Artificial Intelligence and Games;Georgios N. Yannakakis, Julian Togelius;Yannakakis;ai;;;
Ludoliteracy: Defining, Understanding, and Supporting Games Education;José P. Zagal;Zagal;gamedesign;;;
Gamification by Design;Gabe Zichermann & Christopher Cunningham;Zichermann;gamedesign;;;
Bhagavadgītā;;;classic;1;;
Bibbia;;;classic;;;
Costituzione della Repubblica Italiana;;;classic;;;
L'epopea di Gilgameš;;;classic;1;;
