date,title,players,description,uri,durata,difficulty
1/2/09,Deserto Proibito,da 2 a 4 (ottimo in 4),"non difficile, tattico e cooperativo: bisogna trovare i pezzi dell’astronave cercandoli in un deserto che si muove in continuazione, se un giocatore muore di sete muoiono tutti. bello bello. molto avvincente. lo chiedono spesso.",https://boardgamegeek.com/boardgame/136063/forbidden-desert,1h,medium
1/2/09,Dixit,da 3 a 6,"famosissimo, facilissimo, divertente e “immaginifico”, piace a grandi e piccoli",https://boardgamegeek.com/boardgame/39856/dixit,30m,facile
