Antura Learn English,inglese,impara le prime parole di inglese giocando con Antura,htts://www.antura.org
Minecraft,creativa,il lego digitale per eccellenza,https://www.minecraft.net
Monument Valley,"logica, spazialità",avventura poetica dalla grafica non euclidea,https://www.monumentvalleygame.com
TocaBoca Elements,chimica,combina gli elementi chimici,https://tocaboca.com/app/toca-lab-elements/
